rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
2,CNP0483283.1,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,0.9909667372703552,1646.87,-4.1,23,21,50,642.98,False,False,5
3,CNP0562446.1,C/C=C(\NC(=O)[C@H](CC1=CN=CN1)NC(=O)/C(=C/C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSC[C@@H]2/N=C(/O)[C@H](CC(C)C)/N=C(/O)[C@@H](NC(=O)[C@H]3CSC[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)N)[C@H](C)CC)/C(O)=N/[C@@H](CCC(N)=O)/C(O)=N/C/C(O)=N/[C@H](CC(N)=O)/C(O)=N/[C@H](CC(=O)O)/C(O)=N\C/C(O)=N/[C@H](CCCCN)/C(O)=N/[C@@H](CC(C)C)/C(O)=N/3)CSC[C@@H](/N=C(/O)[C@H](CCC(=O)O)/N=C(/O)[C@H](CC3=CNC4=CC=CC=C34)/N=C\2O)/C(O)=N/C/C(O)=N/[C@@H](CC(C)C)/C(O)=N/1)C(=O)N[C@@H](CS)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CS)C(=O)O,0.9870815873146056,3293.78,0.21,46,46,68,1372.72,False,False,5
4,CNP0495213.1,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)NC(CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,0.9869667291641236,1664.91,-4.54,23,22,50,642.98,False,False,5
5,CNP0565018.0,CCC(C)C(NC(=O)C(NC(=O)C1CCCN1C(=O)CNC(=O)C(CC1=CN=CN1)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CS)NC(=O)C(CC(N)=O)NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)CNC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(CS)NC(=O)CNC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)CNC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(CO)NC(=O)C1CCCN1C(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CS)NC(=O)C(CC(C)C)NC(=O)C(CS)NC(=O)C(CO)NC(=O)C(NC(=O)CN)C(C)C)C(C)C)C(C)O)C(C)O)C(C)O)C(=O)NCC(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NCC(=O)O,0.985187530517578,5043.74,-26.89,76,76,152,2011.15,False,False,8
7,CNP0494740.0,CCC(C)C(NC(=O)CNC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CS)NC(=O)C(CC(C)C)NC(=O)C(CS)NC(=O)C1CCCN1C(=O)C(NC(=O)CN)C(C)C)C(C)O)C(=O)NC(CC(C)C)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NCC(=O)NC(CS)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(N)=O)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC1=CN=CN1)C(=O)NCC(=O)N1CCCC1C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)O)C(C)CC,0.9830778241157532,5274.11,-22.62,75,74,157,2039.22,False,False,10
8,CNP0568414.1,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@@H]1CC/C(O)=N/C/C(O)=N/[C@@H](CO)/C(O)=N/[C@@H](CCC(N)=O)/C(O)=N\[C@@H](CC(C)C)/C(O)=N/[C@@H](C(C)C)/C(O)=N/[C@@H](CC2=CC=C(O)C=C2)/C(O)=N/[C@@H](CCCNC(=N)N)/C(O)=N/1)C(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)O,0.9799195528030396,2036.33,0.22,28,26,46,833.47,False,False,4
9,CNP0612048.0,CCC(C)C(NC(=O)C(C)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCCN1C(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)CNC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)CN)C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CC1=CN=CN1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C)C(N)=O,0.9776008129119872,3210.57,-13.09,46,44,99,1326.8,False,False,8
10,CNP0609055.1,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,0.9729260206222534,2961.4,-14.03,46,40,93,1248.33,False,False,5
11,CNP0609055.0,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CS)C(=O)NC(CC1=CN=CN1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NC(CS)C(=O)NC(C)C(=O)O)C(C)CC)C(C)CC,0.9729260206222534,2961.4,-14.03,46,40,93,1248.33,False,False,5
12,CNP0603123.1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CN=CN2)NC1=O,0.9717971086502076,1025.18,-0.44,14,11,17,376.47,False,False,4
