rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
421,CNP0499644.1,C[C@@]12C[C@H](CC3=CC=CC(=C3)C[C@H]3[C@H](C=C[C@@H]4CN5[C@H](C[C@@]43O)[C@@H](N3C=CN=C3)C[C@H]3OCCC[C@@H]35)CC[C@@]34CCC[C@@H]3C3=C(C=CN3)[C@@H]([C@H]4O)[C@@](O)(CC(=O)O)CN1)N[C@H](N)C2,0.8948646783828735,864.14,4.51,8,11,3,194.15,False,False,3
422,CNP0115048.1,CC[C@H](C)[C@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C)[C@H](NC(=O)C2=CC=CC=C2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N1C,0.8948276042938232,1001.28,3.62,2,10,9,206.36,True,False,2
423,CNP0605836.0,CCC1N=C(O)C(NC(=O)C2=NC=CC=C2O)C(C)OC(=O)C(C)N=C(O)C2CC(O)CCN2C(=O)C(CC2=CC=CC=C2)N(C)C(=O)C2CCCN2C1=O,0.8947603106498718,763.85,1.32,5,11,5,234.86,False,False,2
424,CNP0513684.1,CCC(C)(C)[C@H](NC(=O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)C(NC(=O)[C@@H](C)NC(C)=O)C(O)C1=CC=C(Br)C=C1)C(C)(C)C)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](CS(=O)(=O)O)C(=O)N[C@@H]1C(=O)N(C)[C@@H](CCC(N)=O)/C(O)=N/[C@H](C(C)C)C(=O)N2CCC[C@H]2/C(O)=N/[C@H](CC(=O)O)C(=O)O[C@@H]1C,0.8945618271827698,1740.8,-0.44,18,21,34,617.89,False,False,3
425,CNP0261184.1,C=CCO[C@@H]1C[C@H]2C(=O)N3CC[C@H](NC(=O)NC4=CC=CC(SC)=C4)C[C@H]3C(=O)N2C1,0.894553542137146,444.56,2.08,2,5,6,90.98,True,True,1
426,CNP0261184.2,C=CCO[C@@H]1C[C@H]2C(=O)N3CC[C@@H](NC(=O)NC4=CC=CC(SC)=C4)C[C@H]3C(=O)N2C1,0.894553542137146,444.56,2.08,2,5,6,90.98,True,True,1
427,CNP0479536.1,CC(C)C[C@@H]1/N=C(\O)[C@H](C)/N=C(\O)[C@H](NC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)CCCC/N=C(\O)[C@H](CC2=CNC3=CC(Cl)=C(O)C=C23)/N=C(\O)[C@H](CC(C)C)N(C)C1=O,0.8943408727645874,876.46,4.51,12,9,13,327.02,False,False,2
428,CNP0482357.1,CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]1/C(O)=N\[C@@H](CC2=CC=C(O)C=C2)/C(O)=N/[C@H]2CC[C@@H](O)N(C2=O)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC2=CC=C(O)C=C2)/C(O)=N/[C@@H](C(C)C)C(=O)O[C@@H]1C,0.8943322896957397,1022.21,4.84,9,13,19,320.88,False,False,2
429,CNP0559180.1,CCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]1/C(O)=N\[C@@H](CC2=CC=C(O)C=C2)/C(O)=N/[C@H]2CC[C@@H](O)N(C2=O)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC2=CC=C(O)C=C2)/C(O)=N/[C@@H](C(C)C)C(=O)O[C@@H]1C,0.8943322896957397,994.15,4.06,9,13,17,320.88,False,False,2
430,CNP0454842.2,CCCCCC1=CC(CCC2=C(O)C(O)=C3C(O)=CC=CC3=C2/C=C\C2=CC=C(O)C(O)=C2)=CC=C1CNC[C@@]1(C2=NCN=C2)CCC[C@@]23CCC[C@@H]2CC[C@@H](O)[C@H]13,0.8942131996154785,786.03,9.36,7,9,14,158.13,False,False,4
431,CNP0454842.1,CCCCCC1=CC(CCC2=C(O)C(O)=C3C(O)=CC=CC3=C2/C=C/C2=CC=C(O)C(O)=C2)=CC=C1CNC[C@@]1(C2=NCN=C2)CCC[C@@]23CCC[C@@H]2CC[C@@H](O)[C@H]13,0.8942131996154785,786.03,9.36,7,9,14,158.13,False,False,4
