rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
593,CNP0565248.1,C[C@H](CC1=CC=CC=C1)[C@@H]1C#C[C@@H]2C=C[C@H](C3=CC=C(O)C(O[C@H](C[C@H](CC4=CC=CN4)C4=CC=NC(N)=C4)[C@H](O)CO)=C3)C[C@@H](O)[C@H]2[C@@H](O)CCCC1,0.8943808078765869,733.95,6.28,7,8,13,165.08,False,False,4
594,CNP0498094.1,C[C@@H]1N[C@H](C[C@H](O)[C@@H]2CCC[C@H]3CC#CC4=C(C=CC=C4C2)C[C@H]2C[C@@](C)(C[C@@H](N)N2)NC[C@](O)(CC(=O)O)CC3)[C@@H](N2C=CN=C2)C[C@H]1O,0.8943603038787842,690.93,2.61,8,10,6,177.92,False,False,2
595,CNP0567468.1,C[C@@]12[C@H]3CC[C@@]45CC[C@]6(CC[C@@H](CC7=CC=CC=C7)C6)[C@H]4C=C[C@]14[C@H](O)C[C@]52C1=C(C3)[C@]23CC[C@H](O)[C@@]56CC#CC[C@@H](C7=C8C=CC=CC8=C[C@@H]2C7=C[C@](C=CC5)(C1)[C@@H]63)C1=CC=CC(=C1)C1=CC=C(N=C1)NCCC[C@@H](C1CCCCC1)/C(=C/O)CC[C@H]4C(=O)O,0.8942368626594543,1211.69,16.1,5,6,4,122.91,False,True,4
596,CNP0112495.1,C[C@H](CCCC1=CC=CC=C1)C[C@@H]1C#C[C@H]2CC[C@@H](CC3=CC=CC=C3)C[C@]23CC#C[C@@]2(C)C[C@@H](OC3=O)[C@H]3[C@](C)([C@H]4CC[C@]56CC[C@@H]7C[C@]8(C9=CC=CC=C9)CCCC[C@@H]8C8=CC=C9C=CC=C(C9=C8[C@@H]75)[C@@H]6C4)CC[C@@H](O)[C@]3([C@H]1O)[C@@]2(O)CCC1=CC(=O)OC1,0.8941810131072998,1217.68,16.39,3,7,13,113.29,False,False,5
597,CNP0426160.1,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(C4=CC=C(O)C(O)=C4)OC4=C(O)C(O)=CC(O)=C4C3=O)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0.8940228819847107,626.52,-1.98,11,17,6,289.66,False,False,3
598,CNP0426160.2,CC1O[C@@H](OCC2O[C@@H](OC3=C(C4=CC=C(O)C(O)=C4)OC4=C(O)C(O)=CC(O)=C4C3=O)C(O)C(O)[C@@H]2O)C(O)[C@@H](O)[C@H]1O,0.8940228819847107,626.52,-1.98,11,17,6,289.66,False,False,3
599,CNP0158178.1,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.8940176963806152,1158.1,2.04,12,22,23,424.32,False,False,2
600,CNP0158178.2,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1OP(=O)(O)O)C1CC[C@H]2C3[C@H](O)CC4C[C@H](O)CCC4(C)[C@H]3C[C@H](O)C12C,0.8940176963806152,1158.1,2.04,12,22,23,424.32,False,False,2
601,CNP0535883.1,CCCCC[C@@H]1C=C[C@@H](CCCCC[C@H](C(=O)O)[C@H](O)C[C@@H](CNC)[C@]2(O)C[C@H](CC3=CC=NC(N)=C3)C[C@H]2CC2=NC(C3=CC(O)=CC(O)=C3CC3=CC=CC=C3)=C(C3=CC=CC=C3)C2)[C@H](O)C1,0.8939599394798279,941.27,10.14,8,10,25,201.75,False,False,4
602,CNP0436781.1,CO[C@H](C1=CC=C(O)C=C1)[C@H]1NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](O)[C@H](O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](C)NC(=O)[C@H](C)[C@H](O)[C@H](C)CC(C)C)[C@@H](C)[C@@H](C)C(N)=O)[C@@H](C)OC(=O)[C@@H]2CCCCN2C1=O,0.8939472436904907,1531.82,-4.49,21,22,34,620.08,False,False,1
603,CNP0008242.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OC)=C2)[C@]2(C3=CC=NC(N)=C3)CCC[C@H]2CC2=CC=CC=C2)=CC=C1O,0.8938819169998169,640.78,5.89,5,9,14,155.36,False,False,4
604,CNP0605051.1,CNC[C@@H]1C[C@]23[C@@H]4C[C@]5(C[C@H]6[C@@H]7CCNC[C@@H]7C[C@@H]7C=CCN[C@@H]67)CC(CC[C@H]52)CC(=O)CC(=O)C=C(CO)C2=CC(OCO)=C(O)C=C2CC2=CN=C(N)C=C2[C@@H](CC2=CC=CC(CCC5=CC=CC=C5)=C2)CC#CN/C(N)=N/[C@@H]2CC(=C5C=CC[C@@H](O)[C@H]5N4)[C@@H]3[C@@H]1C2,0.8938167691230774,1272.69,8.13,11,16,12,261.73,False,False,4
605,CNP0279781.1,CCC1OC(O)(C(C)(O)C(=O)N[C@@H]2C(=O)N3NCCC[C@@H]3C(=O)N(O)[C@@H](COC)C(=O)N3NCC(O[C@H]4C[C@H](OC)[C@H](O[C@H]5C[C@H](OC)[C@H](O)[C@H](C)O5)[C@H](C)O4)=CC3C(=O)N3CC[C@@](C)(O)[C@H]3C(=O)N(O)[C@@H](CC)C(=O)O[C@H]2C(C)C)CCC1C(=O)C(C)(O)CC,0.893768846988678,1301.45,-1.83,10,26,17,413.53,False,False,0
606,CNP0597193.1,CNC[C@H]1C[C@@H](C2=CC(O)=C(O)C(OCC(C)C)=C2)CC(=O)[C@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@@]2(CC[C@H](O)[C@@H]2CC2=NC=CC2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.8936944007873535,899.1,8.66,8,13,13,206.22,False,False,5
607,CNP0499237.1,C/C(CO)=C1\CCC2=CC=C(C=C2)[C@@H]2CC[C@H](C3=CC=CC(CC4=CC=CC=C4)=C3)C[C@@H]2CC(=O)O[C@@H]2C3=C(C=CC4=C3OC(=O)C([C@H](CCO)COCO)=C4)O[C@@](C)(CCCC3=CC=CC=C3)[C@H]2OC1=O,0.8936928510665894,975.19,10.5,3,11,14,161.96,False,False,6
608,CNP0033717.1,CCCCC[C@@H]1C=C[C@@H](CCCCC[C@H](C(=O)O)[C@H](O)C[C@@H](CNC)[C@]2(O)CC[C@H](CC3=CC=NC(N)=C3)C2)[C@H](O)C1,0.8934925198554993,587.85,5.11,6,7,19,148.93,False,False,1
609,CNP0181191.1,CC#CC1=CC=C(C2=CC=C(C(=O)[C@@H]3CC[C@]45C=C[C@@H]6[C@H]7[C@@H]8C#CC9=C(C=C(O)C%10=C9N[C@H](C=C%10)[C@@](C)(O)CC9=C%10C(=CC=C9)[C@H]8[C@H](C[C@H]%10C8=CN=CN8)[C@H](CC8=CC=CC=C8)CSSC[C@]8(CO)CCC[C@]78C[C@@]63C4)C[C@@H]5NC(=N)NC3CCCCC3)S2)S1,0.8934585452079773,1271.8,14.93,8,11,9,166.38,False,False,6
610,CNP0590584.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(OCO)C3=C2CSSC[C@](C)(O)CNCO3)C(=O)C[C@@H](O)[C@H](CC2=CN=CC2)CC2=CC=C(O)C(OC)=C2CC2=CC=CC3=CC=CC=C23)=C1,0.8934147357940674,922.18,7.72,7,14,18,182.33,False,False,5
611,CNP0578589.1,CC[C@]12C#C[C@@H]3C=C[C@@H](C4=CC=C(O)C(O[C@H]5C[C@@H](CC6=CC=CN6)C6=CC=NC(N)=C6CSSC[C@H](CO)[C@@H]5O)=C4)C[C@@H](O)[C@H]3[C@@H](O)[C@H]3C[C@H](C=C[C@@H]1C3)C2,0.8933172225952148,798.08,6.74,7,10,7,165.08,False,False,3
