rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
85,CNP0358828.1,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@@H](C)[C@H](O)[C@@H](OS(=O)(=O)O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0.970968782901764,802.98,2.22,6,14,7,220.13,False,False,0
86,CNP0292241.1,C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](OS(=O)(=O)O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.9706143140792848,969.11,-1.39,11,20,13,330.51,False,False,0
87,CNP0075828.1,CC1OC(OC2C(O[C@H]3C[C@]4(C)C(C[C@@H](O)C5C([C@@](C)(O)CCCC(C)(C)O)CC[C@]54C)[C@@]4(C)CC[C@H](O)C(C)(C)C34)OC(CO)C(O)C2O)C(O)C(O)C1O,0.9705995917320251,803.04,1.34,10,14,10,239.22,False,False,0
88,CNP0075828.2,CC1OC(OC2C(O[C@H]3C[C@]4(C)C(C[C@@H](O)C5C([C@](C)(O)CCCC(C)(C)O)CC[C@]54C)[C@@]4(C)CC[C@H](O)C(C)(C)C34)OC(CO)C(O)C2O)C(O)C(O)C1O,0.9705995917320251,803.04,1.34,10,14,10,239.22,False,False,0
89,CNP0120836.1,C=C(CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](OC(C)=O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.970523238182068,1091.2,-2.91,13,24,15,372.36,False,False,0
90,CNP0227992.1,CO[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H](O[C@H]4[C@H](O[C@H]5CC[C@]6(C)[C@@H]7CC[C@]8(C)[C@@H](C(C)=O)CC[C@@]8(C)C7=CC[C@H]6C5(C)C)OC[C@@H](OS(=O)(=O)O)[C@@H]4O)O[C@@H]3C)O[C@H](COS(=O)(=O)O)[C@H]2O)O[C@H](COS(=O)(=O)O)[C@H]1O,0.9699026942253112,1347.44,-2.9,12,30,20,491.47,False,False,0
91,CNP0191780.1,C=C(CCC(=O)[C@H]1O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@H]1C(C)=O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.9693782925605774,927.05,-1.48,10,19,13,301.05,False,False,0
92,CNP0191780.0,C=C(CCC(=O)C1OC2CC3C4CC=C5CC(O)CC(OC6OCC(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C5(C)C4CCC3(C)C2C1C(C)=O)COC1OC(CO)C(O)C(O)C1O,0.9693782925605774,927.05,-1.48,10,19,13,301.05,False,False,0
93,CNP0230532.0,CC1CCC2(OC1)OC1CC3C4C(O)C=C5CC(OC6OC(CO)C(OC7OC(C)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1(O)C2C,0.969353973865509,1047.2,-1.82,12,22,9,335.06,False,False,0
94,CNP0110627.1,CCC(=O)C1=C[C@@H](C)[C@]2(CC[C@@]3(C)C4=C(CC[C@@]32C)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]3O)[C@](C)(CO)[C@@H]2CC4)O1,0.9692812561988832,1221.35,-3.49,15,27,16,422.05,False,False,0
95,CNP0227497.1,CC(=O)OC[C@H](C)CCC[C@@H](C)[C@H]1C[C@H](O)C2C3C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@H]3O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0.968979001045227,638.84,2.7,6,10,10,166.14,False,False,0
96,CNP0443179.1,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C(=O)O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O[C@@H]2OC[C@H](O)[C@H](O[C@@H]4O[C@H](CO)C[C@H](O[C@@H]5O[C@H](CO)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@@H]1CC3)C(C)C,0.9688355922698976,1367.53,-2.96,17,29,22,471.74,False,False,0
97,CNP0271508.1,C=C1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](COC(=O)[C@H](O)[C@@H](C)CC)[C@@H](O)[C@H](O)[C@H]6O)C[C@@H](O[C@@H]6OC[C@H](OS(=O)(=O)O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0.9687557220458984,1063.22,0.53,9,21,13,325.58,False,False,0
98,CNP0293736.1,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C(=O)O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@H]1CC3)C(C)C,0.9686272144317628,764.99,4.08,7,11,11,195.6,False,False,0
99,CNP0293736.2,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C(=O)O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@@H]1CC3)C(C)C,0.9686272144317628,764.99,4.08,7,11,11,195.6,False,False,0
