rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
822,CNP0537768.1,CCCCCCCCCC(O)CCC1/N=C(/O)[C@H]([C@@H](C)O)/N=C(\O)[C@@H]([C@@H](C)O)/N=C(\O)C(CC(O)C(N)=O)/N=C(\O)[C@@H](C)/N=C(\O)[C@H](CC(N)=O)/N=C(\O)[C@@H](CC(N)=O)/N=C(\O)C(CCCCCCCC(O)CCCCC)/N=C(\O)CC/N=C(/O)C/N=C/1O,0.9435569047927856,1270.53,4.63,18,18,32,556.32,False,False,0
823,CNP0048988.1,CS(=O)(=O)N1CCN(C(=O)C2CCCCC2)[C@@H](C(=O)N[C@H]2CCCNC2=O)C1,0.943533718585968,414.53,-0.57,2,5,4,115.89,True,True,0
824,CNP0096131.1,C[C@H](O)CNC[C@@H]1C2=C(CC[C@H]3CCC[C@@H]31)NC([C@@H](O)COC1=CC(CCC3=CC(CO)=C(CCCCCC[C@H](N)CCCO)O3)=CC=C1O)=C2,0.9434664249420166,709.97,5.71,8,9,22,177.36,False,False,3
825,CNP0505815.1,CCC[C@H](CO)CCCC(=O)[C@H](O)C(=O)CCC1=CC(OC)=C(O)C([C@@H](C2=CC=NC(N)=C2)[C@H](CO)CC2=CC=CN2)=C1,0.9434622526168824,595.74,3.7,6,9,19,178.99,False,False,3
826,CNP0354465.1,COC(C)(C)CCC[C@](C)(O)C#CCN1CCCC[C@@H]1C1=CC=CN=C1,0.9434099793434144,358.53,3.96,1,4,7,45.59,True,True,1
827,CNP0354465.2,COC(C)(C)CCC[C@@](C)(O)C#CCN1CCCC[C@@H]1C1=CC=CN=C1,0.9434099793434144,358.53,3.96,1,4,7,45.59,True,True,1
828,CNP0096946.1,CNC[C@]1(OC2=CC3=CC(=C2O)N/C(NC)=N\CSSC[C@@H]2CCC[C@]2(CC2=CC=C(O)C(OC)=C2)C(=O)/C=C/[C@H](C(C)C)C3)CC[C@H](C[C@H](O)OC)C1,0.94333153963089,785.09,6.91,6,13,11,153.9,False,False,2
829,CNP0133985.0,COC1=C(C2=NC3=CC(N)=CC=C3N2C)N(C)C=C1C(=O)NC(C)C,0.9433233141899108,341.42,2.31,2,6,4,87.1,True,True,3
830,CNP0014076.1,CN1C(CN2CCC[C@H]2C2=NC(C3=CN=CN=C3N)=NO2)=NC2=CC=CC=C21,0.9431969523429872,376.42,2.33,1,9,4,111.78,True,True,4
831,CNP0140386.1,COC1=CC=C(S(=O)(=O)NC[C@H]2C[C@@H]3CC[N@@]2C[C@@H]3CN2CCN(C3=CC=CC=N3)CC2)C=C1,0.9431872367858888,485.65,1.9,1,7,8,78.01,True,True,2
832,CNP0140386.2,COC1=CC=C(S(=O)(=O)NC[C@H]2C[C@@H]3CCN2C[C@@H]3CN2CCN(C3=CC=CC=N3)CC2)C=C1,0.9431872367858888,485.65,1.9,1,7,8,78.01,True,True,2
833,CNP0609459.0,CC(=CC(=O)N(O)CCCC1NC(=O)CNC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCCN(O)C(=O)C=C(C)CC(=O)O)NC(=O)C(CCCN(O)C(=O)C=C(C)CC(=O)O)NC1=O)CC(=O)O,0.9431426525115968,999.98,-4.22,14,17,23,448.58,False,False,0
834,CNP0461100.1,C/C(=C\C(=O)N(O)CCC[C@@H]1NC(=O)CNC(=O)[C@@H](CCCN(O)C(=O)/C=C(\C)CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)/C=C(\C)CC(=O)O)NC(=O)[C@H](CO)NC1=O)CC(=O)O,0.9431426525115968,999.98,-4.22,14,17,23,448.58,False,False,0
835,CNP0559668.1,COC[C@@H]1C[C@H](N2C=C(NS(C)(=O)=O)C=N2)CN1CC1=CC=CC=N1,0.9431339502334596,365.46,1.11,1,7,7,89.35,True,True,2
836,CNP0357362.0,CCC(C)(NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(CO)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(CO)CC1=CNC2=CC=CC=C12,0.9431264400482178,1912.27,-4.0,23,23,51,686.54,False,False,3
837,CNP0121841.0,CCC(C)(NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(C)(CC)NC(=O)C(C)(C)NC(=O)C(CO)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(CO)CC1=CNC2=CC=CC=C12,0.9431264400482178,1926.29,-3.61,23,23,52,686.54,False,False,3
838,CNP0588166.1,COC1=CC(CCC(=O)CC(=O)CCCCCCC2CCCCC2)=CC([C@H]2C3=CC=NC(N)=C3C=C[C@]2(CO)CC2=CC=CN2)=C1O,0.9430827498435974,641.85,7.47,4,7,17,138.53,False,False,3
839,CNP0551402.1,COC1=CC(CCC(=O)CC(=O)CCCC2CCCCC2)=CC([C@@H]2C3=CC=NC(N)=C3C=C[C@@]2(CO)CC2=CC=CN2)=C1O,0.9430827498435974,599.77,6.3,4,7,14,138.53,False,False,3
840,CNP0149618.8,O[C@]12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@H]12,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
841,CNP0149618.1,OC12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@@H]21,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
842,CNP0149618.3,OC12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31CC3/C=C\CCCCN3[C@@H]21,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
843,CNP0149618.2,O[C@]12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C/CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@H]12,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
844,CNP0149618.6,OC12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C\CC1)CC31C[C@@H]3/C=C\CCCCN3[C@@H]21,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
845,CNP0149618.7,OC12C=C(C3=NC=CC4=C3NC3=CC=CC=C34)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3C21,0.9430824518203736,548.78,6.86,2,4,1,55.39,False,True,3
846,CNP0121094.0,CCC12CN3CCC45C(=NC6=CC=CC=C64)C(C(=O)OC)(C4=CC6=C(C=C4OC)N(C)C4C(O)(C(=O)OC)C(OC(C)=O)C7(CC)C=CCN8CCC64C87)CC(C1O2)C35,0.9430692195892334,806.96,3.73,1,13,7,142.97,False,False,2
