rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
54,CNP0115245.1,CNC(=N)NCCC/C=C/CCC[C@H](C)[C@H]1OC(=O)/C=C\C=C\[C@@H](C)[C@H](O)C[C@H](O)[C@@H](C)[C@H](O)CC[C@H](C)[C@H](O)C[C@@]2(O)O[C@H](C[C@@H](OC(=O)CC(=O)O)C[C@@H](O)C[C@@H](O)C[C@H](O)/C(C)=C/C=C/[C@H]1C)C[C@H](O)[C@H]2O,0.7968187928199768,1068.35,3.19,14,17,12,349.34,False,False,0
55,CNP0115245.3,CNC(=N)NCCC/C=C/CCC[C@H](C)[C@H]1OC(=O)/C=C/C=C/[C@H](C)[C@H](O)C[C@@H](O)[C@H](C)[C@@H](O)CC[C@H](C)[C@H](O)C[C@@]2(O)O[C@@H](C[C@H](OC(=O)CC(=O)O)C[C@@H](O)C[C@H](O)C[C@@H](O)/C(C)=C/C=C/[C@@H]1C)C[C@@H](O)[C@H]2O,0.7968187928199768,1068.35,3.19,14,17,12,349.34,False,False,0
56,CNP0611463.0,CNC(=N)NCCCCCC=C(C)CC(C)C1OC(=O)C(C)C(OC(=O)CC(=O)O)C=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(O)CC(O)CC(O)C(C)C(O)C(C)=CCCC1C)CC(O)C2O,0.7966602444648743,1130.47,3.49,15,18,12,369.57,False,False,0
57,CNP0536832.0,CNC(=N)NCCCC=CCCCC(C)C1OC(=O)C=CC=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(O)CC(OC(=O)CC(=O)O)CC(O)C(C)C(O)C(C)=CC=CC1C)CC(O)C2O,0.7953288555145264,1082.38,3.44,14,17,12,349.34,False,False,0
58,CNP0186360.1,CNC(=N)NCCC/C=C/CCC[C@H](C)[C@@H]1OC(=O)/C=C/C=C/[C@@H](C)[C@@H](O)C[C@@H](O)[C@@H](C)[C@H](O)CC[C@@H](C)[C@H](O)C[C@]2(O)O[C@H](C[C@@H](OC(=O)CC(=O)O)C[C@@H](O)C[C@H](O)[C@H](C)[C@@H](O)/C(C)=C/C=C/[C@H]1C)C[C@@H](O)[C@H]2O,0.7953288555145264,1082.38,3.44,14,17,12,349.34,False,False,0
59,CNP0100248.1,C=C(CC1=CC2=CC=CC=C2N1)[C@]12CC#C[C@H](NC(=N)NC)C[C@]3(O)[C@H](O)C[C@@H]([C@@H]3C1)[C@@]1(O)CC=C[C@@H]2C1,0.7952032685279846,514.67,2.99,7,4,4,124.39,False,True,2
60,CNP0205787.1,C=C(/C=C/C=C(/[C@H](O)CCCCC)[C@@H]1CC[C@]2([C@@H]1O)[C@@H]1/C(=C(/C)C=O)[C@@H](C=C[C@@H]1CCO)C[C@]2(O)CCNC)[C@H]1CC=C(C)[C@@H](O)N[C@@](C)(CCOC)CC2=CC=CC(=C2)C1,0.7940464615821838,843.2,7.24,7,9,18,151.51,False,False,1
61,CNP0257798.1,COC1=CC(C[C@@H]2[C@H](O)C[C@@H](OCO)CCC3=CC4=C(O)C=C3[C@@H](C[C@H](O)C3=CC=CC5=CN(C=C35)COCCC[C@H]3NC(=O)[C@H]5CSSCC6NCCC#C[C@@]7(C[C@@H](C)CC[C@H]7CC[C@@H](O)[C@H]53)[C@H]3C[C@@H](CC[C@H]63)O4)SSC[C@@H]2O)=CC(OC)=C1O,0.7938187122344971,1260.71,9.85,9,19,6,233.82,False,False,4
62,CNP0198651.0,CC(=O)NC(CCCNC(=O)CC(N)CCCNC(=O)CC(N)CCCN)CC(=O)NC1C(N=C2NC(C(=O)O)C(C(O)CN)N2)OC(COC(N)=O)C(O)C1O,0.7932998538017273,818.93,-6.44,15,16,25,416.44,False,False,0
63,CNP0527374.1,CNC(=N)NCCC/C=C/CCC[C@H](C)C1OC(=O)/C(C)=C/C=C/C(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(OC(=O)CC(=O)O)CC(O)CC(O)CC(O)/C(C)=C/C=C/C1C)CC(O)C2O,0.7932333946228027,1082.38,3.58,14,17,12,349.34,False,False,0
64,CNP0162738.1,CC(=O)O[C@H]1CC=C(C)[C@@H](CC/C(C)=C/CCC2=C(C)CC[C@@]3(C)CCC(C)(C)C[C@@H]23)C1(C)C,0.7924332618713379,468.77,9.36,0,2,7,26.3,True,True,0
65,CNP0486220.1,CNC(=N)NCCC/C=C/CCC[C@H](C)[C@H]1OC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)C[C@H](O)[C@H](C)[C@@H](O)CC[C@@H](C)[C@H](O)C[C@@]2(O)O[C@H](C[C@H](O)C[C@H](OC(=O)CC(=O)O)C[C@@H](O)C[C@H](O)/C(C)=C/C=C/[C@H]1C)C[C@@H](O)[C@@H]2O,0.791723906993866,1082.38,3.58,14,17,12,349.34,False,False,0
66,CNP0098917.1,CNC[C@H](CN)C[C@@H](C1=CNC=N1)[C@H]1NC(=O)C[C@@H]1C[C@@H]1[C@@H](O)[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@](C)(CO)[C@H]2CC[C@]3(C)[C@H](CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C(=O)O)CC[C@]43C)[C@@]12C,0.7902827262878418,914.19,2.42,11,13,14,272.97,False,False,1
67,CNP0608657.0,CCCC(CC)COC(=O)CC(=O)OC1CC(O)CC2CC(O)C(O)C(O)(CC(O)C(C)CCC(O)C(C)C(O)CC(O)C(C)C=CC=C(C)C(=O)OC(C(C)CCCC=CCCCNC(=N)NC)C(C)C=CC=C(C)C(O)CC(O)C1)O2,0.7899150848388672,1180.57,5.87,13,18,17,338.34,False,False,0
68,CNP0191510.1,CNC(=N)NCCCCC/C=C(/C)C[C@H](C)[C@H]1OC(=O)[C@H](C)[C@H](O)/C=C/[C@@H](C)[C@H](O)C[C@H](O)[C@H](C)[C@H](O)CC[C@H](C)[C@H](O)C[C@]2(O)O[C@@H](C[C@@H](O)C[C@H](O)C[C@@H](O)[C@H](C)[C@@H](O)/C(C)=C/CC[C@@H]1C)C[C@@H](O)[C@@H]2O,0.7894460558891296,1044.42,3.47,15,16,9,326.2,False,False,0
69,CNP0141268.1,CNC(=N)NCCNC[C@H](C[C@@H](C1=CNC=N1)[C@@H]1NC(=O)C2(CCCC2)[C@H]1C[C@@H]1[C@@H](O)[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@](C)(CO)[C@H]2CC[C@]3(C)[C@H](CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C(=O)O)C[C@@H](CC5=CN=CN5)[C@]43C)[C@@]12C)[C@@H](N)O,0.7889178991317749,1149.49,2.22,16,16,19,369.79,False,False,2
70,CNP0201354.1,CC(=O)N[C@H](CCCNC(=O)C[C@H](N)CCCNC(=O)C[C@H](N)CCCN)CC(=O)N[C@H]1[C@H](O)[C@@H](OC(N)=O)[C@H](CO)O[C@@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@H]2N1,0.7886225581169128,800.92,-6.35,14,15,22,382.22,False,False,0
71,CNP0478972.2,CC(=O)N[C@H](CCCNC(=O)C[C@H](N)CCCN)CC(=O)N[C@H]1[C@H](O)[C@H](OC(N)=O)[C@H](CO)O[C@@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@H]2N1,0.7886225581169128,672.74,-5.96,12,13,16,327.1,False,False,0
