rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
2,CNP0563725.0,O=C(NN=CC1=CC=C(C2=CC=C(Br)C=C2)O1)C1=CC=C([N+](=O)[O-])C=C1,0.9751875400543212,414.22,4.38,1,5,5,97.74,True,True,3
3,CNP0487857.1,NC1=NC(=O)C2=NC=[N+](C3=CC=CC=C3[C@@H]3/C=C\OCC4O[C@H](OC5=C3C=C3C(=O)C6=CC=C(CO)C=C6C(=O)C3=C5OCCO)[C@@H](O)[C@H](O)[C@H]4O)C2=N1,0.970243275165558,738.69,-0.43,6,15,6,255.39,False,False,3
4,CNP0394136.1,COC1=CC2=C(C=C1OC)CN1C(=O)N(CCCCCC(=O)O)C(=O)[C@@H]1C2,0.9691712856292723,376.41,2.04,1,5,8,96.38,True,True,1
5,CNP0558531.0,CCOC(=O)C1=C(C)OC2=CC(Br)=C(OCC3=CC=C([N+](=O)[O-])C=C3)C=C12,0.9684343934059144,434.24,5.17,0,6,6,91.81,True,True,3
6,CNP0549051.0,COC(=O)C1=C(C)OC2=CC(Br)=C(OCC3=CC=C([N+](=O)[O-])C=C3)C=C12,0.9632797241210938,420.22,4.78,0,6,5,91.81,True,True,3
7,CNP0353350.1,C[C@H]1C=CC[C@H]2[C@@H](CC[C@@H]2O)CC(=O)OC[C@H]2O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H]2O,0.9621601700782776,372.41,-0.52,4,8,0,125.68,True,True,0
8,CNP0353350.2,C[C@H]1/C=C/C[C@H]2[C@@H](CC[C@@H]2O)CC(=O)OC[C@H]2O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H]2O,0.9621601700782776,372.41,-0.52,4,8,0,125.68,True,True,0
9,CNP0496581.1,NC1=NC(=O)C2=NC=[N+](C3=CC=CC=C3[C@@H]3/C=C\OCC4O[C@H](OC5=C3C=C3C(=O)C6=CC=C(CO)C=C6C(=O)C3=C5O)[C@@H](O)[C@H](O)[C@H]4O)C2=N1,0.9619296789169312,694.63,-0.1,6,14,3,246.16,False,False,3
10,CNP0404315.1,COC1=CC2=C(C=C1OC)CN(C(=O)CCCC[C@@H]1SC[C@@H]3NC(=O)N[C@@H]31)CC2,0.9595261216163636,419.55,2.31,2,5,7,79.9,True,True,1
11,CNP0522301.1,C[C@@H]1N[C@H](CCCCCCC[C@@H]2CSSC[C@H]3C[C@](C)(C[C@H](N)N3)NC[C@](O)(CC(=O)O)C2)[C@@H](N2C=CN=C2)C[C@H]1O,0.958893358707428,626.93,3.26,7,11,11,157.69,False,False,1
12,CNP0600205.0,CCOC(=O)C1=C(C2=CC=CC=C2)OC2=CC(Br)=C(OCC3=CC=C([N+](=O)[O-])C=C3)C=C12,0.9580121040344238,496.31,6.53,0,6,7,91.81,True,True,4
13,CNP0509189.0,O=C(NN=CC1=CC=C(Br)O1)C1=CC=C([N+](=O)[O-])C=C1,0.9564895033836364,338.12,2.71,1,5,4,97.74,True,True,2
14,CNP0228268.1,COC1=CC2=C(C=C1OC)CN1C(=O)N(CCCC(=O)NCC3=CC=CO3)C(=O)[C@@H]1C2,0.9559243321418762,427.46,2.08,1,6,8,101.32,True,True,2
15,CNP0596445.1,CCCCCCCCCCCCCCCC(=O)NC(C[S+]([O-])CC(CO)C[C@@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1)C(=O)O,0.9533710479736328,1272.69,9.12,4,17,23,248.52,False,False,0
16,CNP0507109.0,CCCCCCCCCCCCCC(=O)NC(C[S+]([O-])CC(CO)CC1CC(O)C2(C)OC3CC4OC5CC6(C)OC7(C)CCC8OC9CC%10(C)OC%11C(C)=CC(=O)OC%11CC%10OC9CC(C)C8OC7CC6OC5(C)CC=CC4OC3CC2O1)C(=O)O,0.9533710479736328,1244.63,8.34,4,17,21,248.52,False,False,0
17,CNP0336062.1,COC1=CC2=C(C=C1OC)CN1C(=O)N(CCCC(=O)O)C(=O)[C@@H]1C2,0.9530298709869384,348.36,1.26,1,5,6,96.38,True,True,1
18,CNP0134312.1,CCCC[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](N)[C@H]2O)C[C@@H]2O[C@@](O)(C[C@H](O)C[C@H](O)C/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,0.95073664188385,709.83,1.27,8,13,6,238.69,False,False,0
19,CNP0605493.0,O=C(NN=CC1=CC=C(C2=CC=CC([N+](=O)[O-])=C2)O1)C1=CC=CC=C1O,0.9507059454917908,351.32,3.32,2,6,5,117.97,True,True,3
21,CNP0537179.1,CC1=CC(NC(=O)N2C[C@@H]3[C@H](O)C(=O)N(C)[C@@H]3C2)=CC=C1Cl,0.9490705728530884,323.78,1.31,2,3,1,72.88,True,True,1
22,CNP0497528.0,COC(=O)C1=C(C)OC2=CC(Br)=C(OC(=O)C3=CC=C([N+](=O)[O-])C=C3)C=C12,0.9489831924438475,434.2,4.42,0,7,4,108.88,True,True,3
23,CNP0047738.0,CCOC(=O)C1=C(C)OC2=CC(Br)=C(OCC3=CC=C(Br)C=C3)C=C12,0.9486554265022278,468.14,6.02,0,4,5,48.67,True,True,3
24,CNP0309607.0,O=C1C(OS(=O)(=O)O)=C(C2=CC=C(O)C(OS(=O)(=O)O)=C2)OC2=CC(O)=CC(O)=C12,0.9482405185699464,462.37,0.94,5,11,5,218.1,True,False,3
25,CNP0347450.1,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)/C=C/C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,0.9481236934661864,908.09,1.74,11,16,3,299.38,False,False,0
29,CNP0584004.1,C[C@H](O)CNC[C@H]1C2=C(CC[C@H]3CCC[C@@H]31)NC([C@@H](O)COC1=CC(CCC3=CC(CO)=C(CCCCC[C@H]4CSSCC5=C(CO)C=CC6=C5C=C[C@@H](C[C@H]4N)[C@H]6O)O3)=CC=C1O)=C2,0.9477393627166748,930.29,8.32,9,12,19,197.59,False,False,4
