rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
906,CNP0008827.1,C/C=C(\CCO)C(=O)O[C@]1(C)CC=C2CSS[C@H]3CC[C@@H](NC)[C@H]4CN(C(=O)CC5=CN=C(N)C=C5[C@@H]2[C@]12CC1=CC5=C(C=C1O2)OC(=O)C=C5)[C@H]43,0.9449333548545836,744.94,4.7,3,12,5,157.22,False,False,3
907,CNP0543565.1,CNC(=N)N[C@H]1CC[C@H]([C@H](CCCO)C2=CC=C(N)N=C2)C2=CC3=C(C(=O)C4=C(O[C@@H]5O[C@H](CO)[C@](O)(C[C@H](CN6C(=O)C=CC6=O)C6=CC=NC(N)=C6)[C@H](O)[C@H]5O)C=C(OC)C=C4C3=O)C(O)=C21,0.9449042081832886,951.0,1.0,11,18,15,346.32,False,False,4
908,CNP0403111.1,CCC(C)C1NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C(C(C)O)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C(CCC(N)=O)NC(=O)[C@@H]2CCCN2)CC(O)COC1=O,0.944820761680603,1487.67,-3.41,20,22,26,565.99,False,False,3
909,CNP0390961.1,COC1=CC=C2C=C1OCC1=CC3=CC=C(O)C(=C3C=C1)CC#CO[C@@H](CCCCCCCC1=CC=CC(N[C@H](CC3=CC=CC=C3)[C@H](C)O)=C1)CC(=O)CC2,0.9446726441383362,753.98,9.91,3,7,14,97.25,False,False,5
910,CNP0573924.1,COCNC1=NC2=C3CO[C@@H](CCC[C@H](CCC4=CC=C(O)C(CC5=CC=CC(O)=C5)=C4)C#CC3=C1)C[C@H](O)[C@@H]1CCC3=C(C=CC(O)=C3OCC3=CC([C@@]45CCOC6(CCCCC6)[C@H]4CCC4=CC=CC=C45)=CC4=CN2C=C34)C1,0.9446668028831482,1074.37,12.84,5,11,9,147.69,False,False,7
911,CNP0575956.1,CC1=NOC(C)=C1C1=CC=C2OC[C@H]3CN(S(=O)(=O)C4=C(C)ON=C4C)CCN3CC(=O)NC2=C1,0.9446259140968324,501.57,2.27,1,9,3,131.01,True,True,3
912,CNP0337532.1,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)CC2=CC=C(O)C=C2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.9445696473121644,1047.26,-1.9,13,15,20,370.82,False,False,1
913,CNP0363742.1,C/C=C(\C)C(=O)O[C@]1(C)CC=C[C@H](C2=CC(N)=NC=C2CC(=O)N2CC(CNC)C2)[C@]12CC1=CC3=C(C=C1O2)OC(=O)C=C3,0.9445468187332152,598.7,3.68,2,9,7,136.99,True,True,3
914,CNP0455662.1,O=C(/C=C/C1=CC=C(O)C(CC2=NCN=C2)=C1)N1C2=CC(O[C@]3(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C(O)C=C2[C@H]2[C@H](C3(C4=CC=CC=C4)CCCCC3)C(CCO)=C[C@]21C(=O)O,0.9445074796676636,839.89,2.43,9,14,12,262.63,False,False,3
915,CNP0148834.1,C/C=C(/C)C(=O)O[C@@H]1CC2=C(C=C3OC(CO)=CC(=O)C3=C2O)O[C@@]1(C)CCC1=CC=C(NCC)N=C1,0.9444193840026855,508.57,4.02,3,9,8,131.12,True,True,3
916,CNP0008728.1,CC[C@H](O)[C@@H]1[C@@H]2CC[C@H]3CC=C4O/C(=C5\OC(=O)C(CO)=C5OC)[C@@H](CO)[C@@H]4[C@H](CC2)N31,0.944408655166626,447.53,1.57,3,8,5,108.69,True,True,0
917,CNP0483641.0,CCCCCC(=O)NC(CCC(=O)O)C(=O)NC1C(=O)NC(CCCCN(C)C)C(=O)NC2CCC(O)N(C2=O)C(CC2=CC=CC=C2)C(=O)N(C)C(CC2=CC=C(O)C(Cl)=C2)C(=O)NC(C(C)CC)C(=O)OC1C,0.9443382620811462,1069.69,2.56,8,13,21,293.42,False,False,2
918,CNP0439033.2,NC(N)=N[C@@]1(C[C@H](CO)CC2=CC=CC=C2)OC2=CC=C(C=C2)CC[C@@H](S(=O)(=O)O)[C@H](C=C[C@@H](O)C2=CC=C(O)C=C2)CC2=CC=C1C=C2,0.9442837834358216,685.84,4.79,6,7,10,188.69,False,False,4
919,CNP0439033.1,NC(N)=N[C@]1(C[C@H](CO)CC2=CC=CC=C2)OC2=CC=C(C=C2)CC[C@@H](S(=O)(=O)O)[C@H](/C=C/[C@@H](O)C2=CC=C(O)C=C2)CC2=CC=C1C=C2,0.9442837834358216,685.84,4.79,6,7,10,188.69,False,False,4
920,CNP0497482.1,CCOC1=CC2=C3C(=C1O)CCC1=CC[N@@+]4(C)CCC5=C(C2=C(OC[C@H]2[C@H](CC6=CC=C([C@@]78C[C@H](CCC(C)C)[C@H](CC9=CC=CC=C9)[C@@H]7CCC7=CC=CC=C78)C=C6)C[C@H]6CC7=CC(=CC=C7)CC7=CC(=CC=C7)[C@@]78CCCC[C@@H]7CCC7=CC=C(C=C78)C[C@@H]62)C(OC)=C5)[C@@H]4[C@H]13,0.94428151845932,1285.83,19.96,1,4,14,47.92,False,False,8
921,CNP0567425.1,CNCC1=C(N)N=C2C3=C1C#C[C@@H](CCC1=CC=C(O)C(CC4=CC=CC(O)=C4)=C1)CCC[C@@H](C[C@H](O)[C@@H]1CCC4=C(C1)C(CO)=CC(O)=C4OCC1=CC([C@]45CCOC6(CCCCC6)[C@@H]4CCC4=CC=CC=C45)=CC4=CN2C=C14)OC3,0.944127082824707,1103.41,11.62,7,12,9,184.71,False,False,7
922,CNP0107957.3,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,0.9441049098968506,1533.78,-5.47,20,24,25,588.87,False,False,1
