Virus,Best Model,AUC-ROC,Accuracy,F1-Score,MCC
Zika virus,XGBoost,0.9316206297083252,0.8979591836734694,0.8264984227129337,0.7567005458241415
HCV,XGBoost,0.930749632533072,0.8630705394190872,0.8996960486322189,0.6846122209073532
dengue virus type 2,XGBoost,0.9145169617133246,0.914855072463768,0.8252788104089219,0.7777347679506489
Hepatitis B virus,XGBoost,0.9098543468365954,0.8298368298368298,0.7767584097859327,0.6404786528131738
Hepacivirus hominis,XGBoost,0.8941634241245137,0.8152350081037277,0.840782122905028,0.620776238073717
Human immunodeficiency virus type 1,XGBoost,0.8898051521564622,0.808955223880597,0.8328981723237598,0.61003557554263
Severe acute respiratory syndrome coronavirus 2,XGBoost,0.8779671404662566,0.905844155844156,0.532258064516129,0.5080257755057214
Influenza,XGBoost,0.8642140468227424,0.7822878228782287,0.7400881057268722,0.5529857549058258
Human immunodeficiency virus 1,XGBoost,0.8295333111059817,0.7653061224489796,0.735632183908046,0.5266945923517041
Influenza A virus,XGBoost,0.7705486918604653,0.91796875,0.4324324324324324,0.4498433839606489
